campaign_id,project_id,kpi_conversion_id,platform,tactic_name,ad_type,status,status_enum,funnel,budget,spent,currency,remaining_spend,start_date,end_date,percent_spent,percent_duration,kpi_percentage,kpi_performance,primary_kpi,kpi_value,kpi_to_date,impressions,clicks,ctr,cpl,cpc,cpm,pricingType,tags,note,alwaysOnActivity,scheduleType
"6081932c6f03f65b32053c4d","12337","","Google","Clearing - Mature - Discovery Ads - Register Interest/Apply Now","Discovery Ads","Ended",4,"Connection",1805.56,1804.52,"GBP",1.04,"2021-07-02","2021-08-05",99.94,100,7.63,7.63,"Clicks",6016,459,86477,459,0.53,0,3.93,20.87,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12294","lead","Facebook Family","Open Days - Parents - Facebook - Book Now - RM/ Prospecting","Mix Media Link Post","Ended",4,"Action",2647.89,2646.83,"GBP",1.05,"2021-06-03","2021-06-26",99.96,100,135.71,135.71,"Leads",28,38,206845,2453,1.19,69.65,1.08,12.8,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12295","lead","Facebook Family","Open Days - Students - Facebook - Book Now - RM/Prospecting","Mix Media Link Post","Ended",4,"Action",2647.89,2646.83,"GBP",1.05,"2021-06-03","2021-06-26",99.96,100,71.88,71.88,"Leads",32,23,308612,1191,0.39,115.08,2.22,8.58,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12248","","The Student Room","Open Day - TSR - Billboards - Students","Billboard","Ended",4,"Attention",1312.19,1312.19,"GBP",0,"2021-05-31","2021-06-26",100,100,111,111,"Impressions",50000,55500,55500,38,0.07,0,34.53,23.64,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12333","contact","Facebook Family","Clearing - Facebook - Prospecting & Remarketing","Mix Media Link Post","Ended",4,"Action",4511.52,4510.47,"GBP",1.06,"2021-08-06","2021-09-30",99.98,100,38.64,38.64,"Leads",44,17,285073,2054,0.72,265.32,2.2,15.82,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12243","","IDP","Clearing - WhatUni & CUG - Display Retargeting - All Audiences","Display Retargeting 2018/19","Ended",4,"Connection",8500,8500,"GBP",0,"2021-07-02","2021-07-31",100,100,111.8,111.8,"Impressions",850000,950262,950262,1698,0.18,0,5.01,8.94,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","17695","","UCAS","NEW Clearing - UCAS Email - Additional sends","2021 Email","Ended",4,"Connection",1250.2,1250.2,"GBP",0,"2021-08-14","2021-08-14",100,100,"",0,"Clicks",0,102,"",102,"",0,13.62,"","standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12307","","Facebook Family","Clearing - Facebook - Traditional Students - Content Marketing","Mix Media Link Post","Ended",4,"Connection",3117.2,3116.15,"GBP",1.05,"2021-07-12","2021-08-09",99.97,100,53.48,53.48,"Clicks",4452,2381,336895,2381,0.71,0,1.31,9.25,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","9448","","UCAS","Sponsored Content Link - UCAS.COM","2021 Sponsored Content Links","Ended",4,"Attention",4000,4000,"GBP",0,"2021-07-28","2021-09-10",100,100,"",0,"Impressions",0,0,0,248,"",0,16.13,"","standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12308","","Facebook Family","Clearing - Facebook - Parents","Mix Media Link Post","Ended",4,"Connection",3557.2,3556.15,"GBP",1.05,"2021-07-01","2021-08-17",99.97,100,80.61,80.61,"Clicks",5927,4778,359273,4778,1.33,0,0.74,9.9,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12217","","Uni Compare","Clearing - Uni Compare - Clearing App - Students","Clearing Profile","Ended",4,"Connection",7500,7500,"GBP",0,"2021-07-20","2021-09-30",100,100,49.67,49.67,"Clicks",300,149,0,149,"",0,50.34,"","standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12336","","Facebook Family","Clearing - Mature - Course Promotion","Mix Media Carousel","Ended",4,"Connection",2654.57,2653.52,"GBP",1.05,"2021-07-13","2021-08-08",99.96,100,33.04,33.04,"Clicks",2370,783,244561,783,0.32,0,3.39,10.85,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12322","","Facebook Family","Clearing - Facebook - Course Promotion - Apply Now - Law","Mix Media Link Post","Ended",4,"Action",2571.53,2570.48,"GBP",1.05,"2021-08-06","2021-09-30",99.96,100,43.23,43.23,"Clicks",2857,1235,219445,1235,0.56,0,2.08,11.71,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","17696","","Uni Compare","NEW Clearing - Uni Compare - Push Notification","Push Notification","Ended",4,"Connection",2500,2500,"GBP",0,"2021-08-13","2021-08-13",100,100,179.6,179.6,"Clicks",250,449,3177,449,14.13,0,6.19,874.34,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12231","","ACAST","Clearing - ACAST - Podcast Adverts - Mature Students","Podcast Advert","Ended",4,"Attention",3333.33,3333.33,"GBP",0,"2021-06-17","2021-09-30",100,100,97.35,97.35,"Impressions",177776,173071,173071,0,0,0,"",19.26,"standard",[],"",false,"standard"
"6081932c6f03f65b32053c4d","12324","","Facebook Family","Clearing - Facebook - Course Promotion - Apply Now - Computer Science","Mix Media Link Post","Ended",4,"Action",2533.59,2532.53,"GBP",1.05,"2021-08-06","2021-09-30",99.96,100,34.05,34.05,"Clicks",3166,1078,264927,1078,0.41,0,2.35,9.56,"standard",[],"",false,"standard"
