campaign_id,project_id,kpi_conversion_id,platform,tactic_name,ad_type,status,status_enum,funnel,budget,spent,currency,remaining_spend,start_date,end_date,percent_spent,percent_duration,kpi_percentage,kpi_performance,primary_kpi,kpi_value,kpi_to_date,impressions,clicks,ctr,cpl,cpc,cpm,pricingType,tags,note,alwaysOnActivity,scheduleType
"61168b35c9d0d14a86e0b020","18293","","The Student Room","UCAS Deadline - TSR - Targeted Impressions","Targeted Impressions","Ended",4,"Attention",3750,3750,"GBP",0,"2021-09-20","2021-10-31",100,100,131.14,131.14,"Impressions",300000,393429,393429,248,0.06,0,17.79,11.21,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","17723","","Google","Brand - Google Search - Brand & Competitor Keywords - Always-On","RSA & ETA","Ended",4,"Action",11410.73,11410.73,"GBP",0,"2021-09-21","2022-01-26",100,100,335.38,335.38,"Clicks",14820,49703,149419,49703,33.26,0,0.23,76.37,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","18299","","Snapchat","Brand - Snapchat - Commercials - AR","Commercials","Ended",4,"Attention",0.18,0,"GBP",0.18,"2022-04-01","2022-04-30",0,100,"",0,"Clicks",1,"","","","",0,"","","standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","17724","471687301","Google","Autumn Open Days - Google Search - Open Day Keywords","RSA & ETA","Ended",4,"Action",7065.27,7065.27,"GBP",0,"2021-09-21","2022-01-15",100,100,340.56,340.56,"Leads",131,446.13,45348,10742,23.69,15.84,0.66,155.8,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","17917","","YouTube","Brand - YouTube - Awareness Mix","Awareness Mix (Whitelist)","Ended",4,"Attention",6129.93,6129.93,"GBP",0,"2021-09-28","2022-01-26",100,100,60.5,60.5,"Impressions",1380615,835261,835261,805,0.1,0,7.61,7.34,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","17738","lead","Facebook Family","Open Days - Facebook - Parents","Mix Media Link Post","Ended",4,"Action",4357.2,4357.2,"GBP",0,"2021-09-20","2022-01-15",100,100,104.84,104.84,"Leads",62,65,307037,6776,2.21,67.03,0.64,14.19,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","17869","","Facebook Family","Brand - Mature Students - Content Marketing","Mix Media Link Post","Ended",4,"Connection",4374.4,4374.4,"GBP",0,"2021-09-21","2021-12-15",100,100,60.62,60.62,"Clicks",3616,2192,371935,2192,0.59,0,2,11.76,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","18305","","ACAST","Brand - ACAST - Podcast Adverts","Podcast Advert","Ended",4,"Attention",7500,7500,"GBP",0,"2021-09-20","2022-01-26",100,100,103.28,103.28,"Impressions",416667,430347,430347,1,0,0,8823.53,20.5,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18309","","Pinterest","Course - Pinterest - All locations - Traditional & Mature","Video Pins","Ended",4,"Connection",2943.47,2943.47,"GBP",0,"2021-12-08","2022-01-26",100,100,108.06,108.06,"Clicks",2433,2629,1085710,2629,0.24,0,1.12,2.71,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18287","","Facebook Family","Open Days - Facebook - Traditional Students - Gold","Mix Media Link Post","Ended",4,"Action",4357.25,4357.25,"GBP",0,"2021-09-22","2022-01-15",100,100,9.43,9.43,"Leads",53,5,560908,1875,0.33,871.45,2.32,7.77,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","18419","","YouTube","Course - Discovery - On-Demand Sessions","Discovery","Ended",4,"Attention",5201.92,5201.92,"GBP",0,"2021-10-11","2021-12-31",100,100,418.05,418.05,"Impressions",1155983,4832551,4832551,0,0,0,"",1.08,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18304","","WhatUni","Open Days - WhatUni - Featured Open Day - UK","Featured Open Day","Ended",4,"Attention",3000,3000,"GBP",0,"2021-09-18","2021-10-30",100,100,53.33,53.33,"Clicks",60,32,0,32,"",0,104.17,"","standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18294","","The Student Room","UCAS Deadline - TSR - Billboard","Billboard","Ended",4,"Attention",3750,3750,"GBP",0,"2021-09-20","2021-10-31",100,100,120.69,120.69,"Impressions",100000,120691,120691,71,0.06,0,62.14,36.55,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18314","","Invibes","Open Days/Jan Deadline - Invibes - Unfold and H Parallax","Unfold and H Parallax","Ended",4,"Attention",5000,5000,"GBP",0,"2021-10-08","2022-01-26",100,100,92.1,92.1,"Impressions",500000,460488,460488,896,0.19,0,6.2,12.06,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","17874","","Facebook (DPA)","Course - Collection Ads - Mature Students","Collection Ad","Ended",4,"Connection",4351.9,4351.9,"GBP",0,"2021-09-21","2021-11-30",100,100,156.22,156.22,"Clicks",8704,13597,381163,13597,3.57,0,0.32,11.42,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18313","","Rezonence","Jan Deadline - Rezonence - Freewall","FreeWall Quiz","Ended",4,"Attention",5000,5000,"GBP",0,"2021-09-24","2022-01-26",100,100,"",0,"Page Views",13257,0,35262,17434,1.95,0,0.34,166.82,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18302","","Instagram","Course - Instagram - Traditional Students (all placements)","Newsfeed + Stories/Reels Placements","Ended",4,"Connection",3454.73,3454.73,"GBP",0,"2021-12-06","2022-01-26",100,100,95.04,95.04,"Clicks",2563,2436,1093373,2436,0.22,0,1.42,3.16,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18280","","TikTok","Brand - TikTok - All locations","In-Feed Ad","Ended",4,"Attention",4419.4,4419.4,"GBP",0,"2021-10-07","2021-11-30",100,100,126.57,126.57,"Clicks",11049,13985,1177660,13985,1.19,0,0.32,3.75,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18312","","Mobsta","Open Days/Jan Deadline - Mobsta - Geofence","Geofence","Ended",4,"Attention",10000,10000,"GBP",0,"2021-09-20","2022-01-15",100,100,146.11,146.11,"Impressions",769231,1123957,1123957,5369,0.48,0,2.07,9.89,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18291","","The Student Room","UCAS Deadline - TSR - Sponsored Content","2021 Sponsored Content","Ended",4,"Attention",3750,3750,"GBP",0,"2021-10-05","2021-11-02",100,100,"",0,"Page Views",1500,0,1520,"","",0,"",2902.48,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","17918","","Twitter","Open Days - Twitter - Parents","Mixed Ad Formats","Ended",4,"Connection",4350.97,4350.97,"GBP",0.01,"2021-09-22","2022-01-15",100,100,86.51,86.51,"Clicks",7252,6274,633471,6274,0.99,0,0.69,6.87,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","18423","","Facebook Family","Open Days - Facebook - Traditional Students - Silver & Bronze","Mix Media Link Post","Ended",4,"Action",4374.37,4374.37,"GBP",0,"2021-09-20","2022-01-15",100,100,14.89,14.89,"Leads",47,7,638819,1772,0.28,624.91,2.47,6.85,"standard",[],"",false,"flighting"
"61168b35c9d0d14a86e0b020","17873","","Snapchat","Course - Collection Ads - Traditional Students","Collection","Ended",4,"Connection",6217.12,6217.12,"GBP",0,"2021-09-21","2021-11-30",100,100,263.66,263.66,"Clicks",7772,20492,2057204,20492,1,0,0.3,3.02,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18298","","Student+ MarketPlace","Autumn Open Days - Programmatic - Parents","Display","Ended",4,"Attention",3962.25,3961.96,"GBP",0.29,"2021-09-15","2021-10-31",99.99,100,100.13,100.13,"Impressions",565271,565994,565994,509,0.09,0,7.78,7,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","18311","","Twitch","Brand - Twitch - Video","Twitch Premium Video","Ended",4,"Attention",10000,10000,"GBP",0,"2021-09-20","2022-01-26",100,100,106.17,106.17,"Impressions",338410,359277,359277,248,0.07,0,47.44,32.75,"standard",[],"",false,"standard"
"61168b35c9d0d14a86e0b020","17872","","Facebook Family","Brand - Traditional Students - Content Marketing - Sustainability","Mix Media Link Post","Ended",4,"Connection",4396.87,4396.87,"GBP",0,"2021-09-16","2021-12-15",100,100,49.42,49.42,"Clicks",3357,1659,775177,1659,0.21,0,2.65,5.67,"standard",[],"",false,"flighting"
